Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.95,0.83,0.7533,0.6767,0.6,0.33,0.66,0.49,1.26,1.13,0.62,0.49,1.17,0.76,1.13,0.81,1.08,1.19,1.23,1.26,1.04,1.4,,,,
Argentina,,,,,,,,,,,,,,,,,3.39,3.91,4.17,4.03,3.86,3.9186,3.9771,4.0357,4.0943,4.1529,4.2114,4.27,4.48,4.51,4.4367,4.3633,4.29,4.45,4.7,4.69,4.91,4.68,4.75,4.38,4.23,4.77,4.85,4.66,4.22,4.37,4.71,4.77,4.46,4.5,4.31,4.48,4.44,4.67,4.59,4.11,4.33,4.3,4.28,4.3,4.05,3.91,4.06,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,4.26,4.5333,4.8067,5.08,5.35,3.79,5.25,3.95,4.99,6.23,4.79,5.49,4.25,4.04,4.91,4.93,5.36,5.82,4.28,4.8,4.91,5.12,4.5167,3.9133,3.31,3.22,3.13,3.17,4.13,3.28,4.63,
Australia,5.16,5.64,6.08,5.75,5.83,5.56,6.1,6.03,5.68,5.84,6.17,6.09,6.33,5.84,5.26,5.36,5.72,5.43,5.31,4.87,5.11,4.7,4.72,4.85,4.65,4.4,4.28,3.68,3.99,3.65,3.38,3.74,3.65,3.6,3.37,3.47,3.29,3.21,3.06,3.29,3.04,2.72,2.55,2.56,2.72,2.56,2.18,2.02,1.83,1.54,1.79,1.74,1.36,1.5,1.25,1.275,1.3,1.21,1.33,1.29,1.28,1.27,,
Austria,,,,,,3.14,2.8,3.81,3.42,3.28,3.69,4.15,3.34,3.9,4.02,4.17,4.35,5.08,5.04,4.68,4.79,5.02,5.23,5.25,5.08,4.65,4.77,4.86,4.48,4.51,4.67,4.52,4.38,3.95,4.49,3.34,3.94,3.53,3.4,2.96,2.95,2.38,2.75,2.97,2.63,2.97,2.55,2.34,2.09,2.31,1.81,1.65,2.42,2,2.02,2.33,2.04,2.03,1.6,1.77,1.9,1.79,1.89,1.67
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,4.53,4.1867,3.8433,3.5,3.62,2.96,3.43,2.85,4.42,1.97,0.96,1.47,2.29,1.77,1.66,2.32,1.96,1.92,2.1,1.9,1.28,1.62,2.75,2.36,1.97,1.58,,,,,,
Barbados,,,,,,,,,,,16.88,26.2,23.68,17.7,27.59,24.06,20.53,16.74,22.77,19.56,23.11,16.18,15.23,16.99,15.3,16.5,17.72,13.98,12.08,19.2,12.92,8.73,15.41,16.07,20.45,9.58,14.63,17.82,15.95,11.87,10.45,13.83,12.4,9.71,13.06,11.16,10.45,9.74,9.03,8.32,7.61,8.55,8,7.43,8.56,7.71,4.07,3.07,7.36,7.14,7.53,3.8,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,4.48,4.52,4.56,4.6,4.29,4.64,4.31,3.93,4.33,4.56,4.22,4.65,4.17,4.93,4.76,4.59,4.19,4.48,4.19,3.96,4.78,4.53,4.5225,4.515,4.5075,4.5,4.69,3.84,3.975,4.11,,
Belgium,,,,,4.5,4.71,4.7,4.82,4.35,4.72,4.18,4.03,5.07,3.89,4.01,3.39,3.85,3.2,3.49,4.36,3.64,3.98,3.26,3.3,2.91,2.55,2.83,3.16,3.55,3.24,3.13,3.13,2.7,2.62,3.45,3.04,2.62,2.7,2.75,2.38,2.12,2.09,1.84,2.49,2.13,2.24,1.86,2.43,1.85,2.27,1.58,1.81,1.73,1.63,1.99,1.71,1.53,1.57,1.8,1.94,1.6,1.87,1.61,
Belize,,,,,,,,,,,,,,,11.28,2.66,14.21,8.63,3.05,2.25,2.18,10.5,18.82,12.9,7.45,10.74,9.25,10.15,7.52,4.89,6.6825,8.475,10.2675,12.06,5.61,6.43,7.25,9.62,14.415,19.21,10.94,7.98,4.95,1.92,4.9,4.62,7.52,14.75,24.9,15.42,17.37,20.68,7.46,13.64,16.4,9.55,9.88,15.12,12.04,9.93,19.72,11.55,11.9,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02,5.11,5.07,4.75,4.99,4.91,5.24,5,5.11,4.95,4.96,4.91,4.97,4.93,4.87,4.65,4.81,4.67,4.76,4.91,5.06,5,5.15,4.85,4.81,4.91,4.85,4.79,4.74,4.73,4.77,4.57,4.59,4.56,
Bulgaria,,,,,,,,,,,,,,,2.32,2.56,2.7,2.19,2.49,2.85,3,2.54,3.01,3.18,2.97,2.81,2.89,2.72,2.92,3.29,2.85,3.11,3.33,3.17,3.32,3.8,3.85,3.63,4.1,4.64,3.95,3.99,4.04,4.76,4.93,4.99,4.94,4.86,5,6.09,5.25,5.64,5.63,5.53,5.69,5.22,5.24,6.3,5.36,5.53,5.79,5.5,5.91,
Canada,7.85,8.75,8.67,8.14,7.99,7.74,8.16,7.77,7.47,7.81,6.89,6.9,7.04,6.55,6.41,6.64,6.59,6.15,5.86,5.69,5.71,5.38,4.94,4.41,4.33,3.59,3.4,3.74,3.6,3.24,2.76,3.01,3,2.84,2.64,2.52,2.52,2.33,2.33,2.17,2.25,2.14,1.84,1.99,2.08,1.84,1.97,1.86,1.71,1.82,1.67,1.65,1.48,1.51,1.51,1.42,1.43,1.43,1.29,1.3,1.31,1.4,,
Chile,,,,,,7.83,7.14,8.12,9.12,8.71,10.48,9,9.51,10.98,11.55,10.57,13.61,12.22,13.72,13.29,15.35,14.89,15.06,16.19,16.11,15.37,14.8,14.19,14.55,14.78,14.78,13.37,13.64,13.22,12.8,13.79,12.94,13.3,12.57,12.36,12.63,11.62,11.19,12.1,10.48,10.1,9.54,9.33,9.05,8.54,7.95,7.58,6.94,7.09,6.86,6.56,6.45,5.73,5.48,5.6,4.88,4.84,4.67,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35,4.35,4.24,3.16,3.8,3.29,3.04,3.01,2.51,2.45,2.97,2.56,2.73,2.56,,,,,,,,,,,,,
Colombia,,,,4.57,2.58,2.92,2.35,2.87,5.03,4.56,5.09,5.48,6.59,7.22,7.68,7.27,8.2,7.48,8.97,8.05,8.2567,8.4633,8.67,8.745,8.82,8.59,8.11,9.77,9.8157,9.8614,9.9071,9.9529,9.9986,10.0443,10.09,10.67,10.45,10.54,9.68,9.87,9.15,8.8,9.38,9.14,9.65,9.97,10.55,9.84,9.83,10.01,9.74,9.28,9.44,9.53,8.67,8.59,7.98,7.65,7.54,7.13,6.94,6.32,,
"Costa Rica",,,,,,,,,,,,12.05,13.76,9.91,12.84,15.73,12.38,15.45,11.39,13.03,8.44,8.68,6.36,11.05,9.94,7.71,12.5,10.5,10.68,10.02,9.6,9.93,9.36,9.81,10.13,10.45,13.06,11.54,9.43,9.64,9.52,10.42,9.93,10.44,11.22,11.02,10.22,9.97,9.61,8.01,7.76,8.59,5.2,5.75,6.57,5.55,4.77,4.24,4.72,4.76,5.33,4,5.04,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98,3.68,4.64,3.14,3.26,3.37,3.17,3.16,2.86,2.62,2.91,2.6,2.38,2.89,2.47,2.29,2.2,2.55,2.65,2.3,2.56,2.29,2.84,3.1,2.59,2.94,2.48,2.48,2.83
Cuba,,,,,,,,,,,,,,,3.09,3.3725,3.655,3.9375,4.22,4.92,5.22,5.24,4.67,4.49,4.37,5.35,5.16,4.54,4.69,5,4.08,3.83,4.9,4.76,4.55,4.86,6.27,6.13,6.96,6.09,5.37,5.38,5.54,5.31,5.39,5.49,6.06,5.94,5.64,5.77,5.94,5.34,5.74,6.53,5.86,6.02,6.25,6.01,5.7,5.6,5.13,5.51,5.1,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28,6.35,6.43,6.16,5.01,5.92,5.63,5.76,5,5.27,4.77,4.82,4.57,4.5,4.28,4.71,4.4,4.36,4.35,3.93,4.04,3.39,3.33,3.27,3.6,3.23,3.52,3.62
Czechoslovakia,,,,3.87,5.17,5.69,6.46,6.21,5.91,8.09,6.9,7.91,6.62,6.62,7.12,7.49,6.57,6.95,5.29,5.11,5.52,5.57,5.36,5.42,4.97,5.05,4.93,5.42,5.17,5.04,5.19,5.14,5.08,5.82,5.65,5.97,5.79,5.92,6.05,5.7,5.14,5.58,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,8.44,7.43,7.66,9.04,12.77,10.83,10.27,10.4,11.33,12.11,10.42,11.6,11.07,10.45,11.19,11.63,11.8,10.31,9.04,10.39,8.48,8.42,8.61,8.14,8.79,8.68,8.21,7.66,7.17,8.51,6.96,6.84,6.18,6.24,6.08,4.73,5.69,5.33,4.99,5.34,5.23,4.25,4.26,3.67,3.6,4.17,3.61,4.3,3.01,2.92,2.34,2.69,2.51,2.88,1.99,2.51,2.18,1.76,2.17,1.38,1.94,
"Dominican Republic",,,,,,,,,,,,,,,,1.6,1.4,2.81,3.38,3.19,3.97,3.04,2.99,3.68,2.95,4.45,3.71,3.25,2.95,3.85,4.79,3.5,3.45,2.72,5.67,6.41,4.29,4.7,5.16,3.74,3.65,3.51,4.4,4.275,4.15,3.76,4.73,4.36,4.03,4.91,3.36,4.16,3.825,3.49,3.87,3.61,3.68,3.05,3.38,3.71,4.12,3.99,,
Ecuador,,,,,,,,,,,,,,,,,,,3.54,3.67,3.99,3.41,4.9,4.35,6.21,4.12,4.635,5.15,5.72,6.34,6.13,5.03,5.75,6,5.62,7.47,5.59,6.6,5.52,7.04,6.7,6.06,6.4,5.74,5.61,8.81,8.6,6.31,6.74,5.62,5.71,4.53,4.39,4.09,4.19,4.89,3.88,4.64,4.77,5.03,4.67,4.83,4.41,
Egypt,,,,,,0.23,0.19,0.25,0.17,0.09,0.14,0.21,0.19,0.1937,0.1974,0.2011,0.2047,0.2084,0.2121,0.2158,0.2195,0.2232,0.2268,0.2305,0.2342,0.2379,0.2416,0.2453,0.2489,0.2526,0.2563,0.26,0.2637,0.2674,0.2711,0.2747,0.2784,0.2821,0.2858,0.2895,0.2932,0.2968,0.3005,0.3042,0.3079,0.3116,0.3153,0.3189,0.3226,0.3263,0.33,0.32,0.4,0.32,0.28,0.29,0.29,0.32,0.26,0.28,0.34,0.37,,
"El Salvador",3.92,5.05,4.72,4.03,4.32,3.51,4.32,2.46,3.37,2.52,2,2.3,2.69,3.2,4.01,3.5,2.88,3.31,2.3,4.49,6.02,4.69,4.72,3.5,4.17,4.2671,4.3643,4.4614,4.5586,4.6557,4.7529,4.85,5.11,5.11,4.49,4.72,4.95,5.18,5.41,5.64,5.87,5.19,4.63,4.03,5.38,6.73,8.18,6.66,11.91,11.72,9.96,8.39,7.43,8.06,8.25,8.98,7.49,6.2,6.83,7.25,7.11,5.82,7.12,
"England and Wales",8.1,7.76,7.59,7.38,7.04,7.18,7.21,7,7.65,7.13,7.26,6.88,6.91,6.74,7.08,6.74,6.61,6.55,6.54,6.33,6.15,6.11,5.79,5.82,5.22,5.49,5.64,5.48,5.49,5.33,5.27,5.07,4.92,4.94,4.83,4.9,5.2,4.84,4.79,4.45,4.32,4.02,3.85,3.5,3.07,3.09,3,2.74,2.58,2.4,2.42,2.27,2.08,1.99,1.96,1.87,1.75,1.78,1.73,1.65,1.72,1.74,1.59,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.03,5.2,5.5367,5.8733,6.21,7.32,6.01,5.81,6.27,5.27,7.3,6.5,8.54,5.69,5.17,6.4,7.36,6.23,5.55,4.99,4.86,4.92,4.99,4.62,4.97,4.72,4.4,5.44,4.46,5.65,5.36,5.62,
Finland,,,2.99,4.41,4.47,4.57,4.98,4.9,5.35,5.04,5.2,5.35,4.58,6.16,6.14,5.15,5.41,5.36,4.69,5.22,4.68,5.12,3.85,3.18,3.24,2.95,2.96,3.26,3.01,2.76,2.93,2.22,2.42,2.21,2.05,2.12,1.94,1.61,2.02,1.54,1.34,1.76,1.23,1.6,1.18,0.89,1.22,1.41,1.19,1.3,1.48,1.24,0.86,0.86,0.98,0.95,1.02,0.69,1.15,1,1.01,0.89,0.9,0.88
France,1.9,2.05,2.2,2.53,2.24,2.59,3.07,3,2.75,2.87,3.05,3,2.83,2.81,2.74,2.93,2.86,2.56,3.16,2.7,2.5,2.65,2.55,2.54,2.53,2.41,2.38,2.33,2.37,2.02,2.42,2.2,2.11,2.09,2.11,2,1.99,1.92,1.86,1.96,1.69,1.75,1.66,1.66,1.69,1.58,1.36,1.52,1.6,1.48,1.39,1.45,1.41,1.43,1.37,1.38,1.26,1.22,1.4,1.39,1.33,1.35,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.48,4.9267,4.3733,3.82,5.76,4.99,5.17,4.61,4.8,4.24,4.19,3.77,3.35,5.12,3.92,3.04,3.28,3.6,2.73,3.83,3.35,2.87,2.39,1.86,1.45,1.15,1.905,2.66,1.73,3.43,4.21,
Germany,,,,,,,,,,,,,,,,,,,,,,,,6.65,6.42,6.24,5.93,5.8,5.47,5.135,4.8,4.72,4.27,4.33,4.27,4.18,3.9,3.77,3.63,3.64,3.49,3.33,3.33,3.18,3.11,2.79,2.7,2.63,2.52,2.54,2.36,2.29,2.17,2.11,2,1.93,1.75,1.86,1.89,1.89,1.81,1.86,1.85,1.75
Greece,,,,,,,,,,,,0.5,0.54,0.42,0.25,0.51,0.95,0.5,0.47,0.79,0.83,0.87,1.08,1.29,0.67,0.84,1.1,1.41,1.45,1.28,1.24,1.22,1.37,1.34,1.6,1.41,1.33,1.1,1.21,1.41,1.37,1.53,1.38,1.36,0.79,0.99,0.91,1.05,1.26,1.38,1.08,0.83,0.98,1.01,0.98,0.89,0.99,1.07,1.02,1.23,1.65,1.43,1.38,
Guatemala,,,,,,,,,,,,,,4.3,3.51,3.29,4.29,4.95,4.05,0.32,4.92,0.27,1.9967,3.7233,5.45,5.27,5.07,3.86,6.39,4.03,3.05,4.88,5.15,5.42,5.69,5.26,4.83,4.58,2.64,4.04,3.32,4.15,3.79,4.45,4.77,4.05,3.89,3.57,3.95,4.04,4.74,4.44,5.05,5.43,5.5,6.18,6.84,6.88,6.41,8.41,8.85,7.09,8.38,
"Hong Kong",,,,,,11.61,12.78,12.34,12.34,11.26,11.11,10.64,10.96,10.33,10.01,8.25,10.55,9.71,9.61,8.99,8.45,8.93,8.86,8.24,7.94,7.36,6.78,8.18,5.53,6.38,5.81,6.11,4.21,5.3,4.71,5.06,5.24,4.54,3.85,3.99,3.78,4.31,3.85,3.96,3.57,4.08,3.23,3.3,3.14,3.35,2.43,2.43,2.15,1.82,2.2,2.13,2.1,2.01,1.85,1.92,2.1,2.24,1.78,1.88
Hungary,,,,,,1.44,1.99,2.65,3.28,4.62,4.6,5.06,3.92,4.98,4.96,5.36,5.56,5.61,5.67,6.23,6.52,6.21,6.69,6.46,6.43,6.46,6.51,5.95,6.62,7.3,8.03,7.68,8.48,7.65,7.07,7.63,7.4,7.82,6.91,7.12,7.02,6.41,6.36,6.36,6.11,6.2,6.44,6.25,5.5,5.77,5.36,6.09,5.96,5.36,5.56,4.9,4.75,4.84,4.97,4.36,4.19,4.49,4.62,4.55
Iceland,,4.71,0.76,6.99,0.74,4.71,5.24,4.94,3.12,7.11,5.77,3.5,11.76,4.24,7.02,5.36,7.64,11.52,4.67,18.16,5.68,8.02,5.16,2.43,8.01,5.97,6.79,0.87,3.87,2.83,3.84,2.12,0.4,4.86,8.39,0.31,2.5,2.88,3.25,0.97,1.47,4.59,3.47,0.5,2.58,1.58,1.92,2.27,4.33,3.08,2.04,1.67,0.91,2.51,0.8,0.39,1.28,0.44,0.39,1.11,,,,
Ireland,1.56,1.68,2.1,1.87,1.97,2.7,2.38,2.75,3.04,1.37,2.57,1.95,2.55,2.98,3.05,2.56,3.28,4.18,3.75,4.14,4.24,3.36,4.2,4.27,2.65,3.91,2.62,3.06,2.55,3.19,2.64,3.15,2.77,2.74,2.44,3.19,2.68,3.03,3.42,3.24,2.99,2.64,3.12,3.29,2.73,3.35,3.64,3.4,3.36,3.21,2.72,2.57,3.03,2.5,3.28,3.12,3.12,2.91,2.78,3.09,2.94,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,1.51,1.1,1.88,1.4,0.78,1.48,1.12,1.77,1.41,1.47,1.39,1.04,1.44,1.57,1.66,1.34,1.3,1.57,1.58,1.87,1.7,1.44,1.69,1.38,1.47,1.43,1.53,1.5,1.44,1.31,1.31,1.46,1.75,1.56,1.43,1.53,1.53,
Italy,,1.13,1.2,1.21,1.71,1.67,1.74,1.81,1.8,1.97,1.87,1.66,1.9,1.89,1.81,1.74,1.65,1.64,1.73,1.65,1.58,1.53,1.35,1.28,1.15,1.07,1.04,1.1,1.05,1.17,1.08,1.13,0.89,0.86,0.75,0.76,0.68,0.96,0.91,0.94,0.96,0.79,0.83,0.87,0.9,0.84,0.8,0.79,0.78,0.72,0.67,0.71,0.65,0.63,0.6133,0.5967,0.58,0.7,0.61,0.6,0.64,0.72,0.68,
Japan,1.45,1.21,1.19,1.47,1.79,2.19,2.12,1.88,3.86,4.27,4.09,3.69,3.65,3.8,3.58,3.63,3.39,3.17,3.04,2.83,2.61,2.47,2.6,2.21,2.33,2.35,2.42,2.34,2.37,2.44,2.3,2.2,2.12,2.04,2,1.99,1.89,1.9,1.89,1.83,1.83,1.8,1.85,1.75,1.7,1.99,1.91,1.91,1.93,1.89,2,1.93,2.02,1.92,1.97,1.97,1.93,1.9,1.97,1.93,2.02,2.11,2.05,2.03
