year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,18.117117117117232,90.06495726495729,-24.294607843137328,0.316,0.4506188034188039,3255,2.58,5.968881106861041,147.7,53.17436810799995,-12.677812659560459,51.602,50.08986281053012
1961,19.51446183025155,89.98017094017095,-23.291176470588425,0.302,0.4556463247863256,3078,2.588,5.947764173992482,146.4,54.047300046800046,-12.248610688351619,52.306000000000004,49.10031887282162
1962,20.911806543385865,89.89538461538461,-22.287745098039295,0.35200000000000004,0.4606738461538473,3484,2.596,17.04724093,144.8,54.92023198559991,-11.819408717142892,52.997,48.11077493511311
1963,22.309151256519726,89.8105982905983,-21.284313725490392,0.344,0.46570136752136904,3591,2.6039999999999996,6.50290263,142.7,55.793163924400005,-11.390206745934051,53.675,47.12123099740461
1964,23.706495969654043,89.72581196581197,-20.280882352941262,0.466,0.47072888888889075,3709,2.612,6.764865116,140.4,56.6660958632001,-10.961004774725325,54.34,46.13168705969588
1965,25.10384068278836,89.64102564102564,-19.27745098039236,0.4,0.4757564102564107,3146,2.62,5.863296442518248,137.7,57.539027801999964,-10.531802803516484,54.993,45.142143121987374
1966,26.50118539592222,89.55623931623933,-18.27401960784323,0.41700000000000004,0.4807839316239324,3459,2.658,13.46334483,135.0,58.41195974080006,-10.102600832307758,55.635,44.15259918427887
1967,27.898530109056537,89.47145299145299,-17.270588235294326,0.381,0.4858114529914541,3467,2.696,3.327542288,132.2,59.28489167959992,-9.673398861098917,56.266999999999996,43.163055246570366
1968,29.295874822190854,89.38666666666668,-16.267156862745196,0.5529999999999999,0.49083897435897583,3370,2.734,0.238860485,129.4,60.157823618400016,-9.244196889890077,56.888999999999996,42.173511308861634
1969,30.69321953532517,89.30188034188035,-15.263725490196293,0.606,0.49586649572649755,3631,2.772,10.89144583,126.5,61.03075555719988,-8.81499491868135,57.498000000000005,41.18396737115313
1970,32.09056424845903,89.21709401709401,-14.260294117647163,0.691,0.5008940170940175,3902,2.81,18.22668288,123.5,61.903687495999975,-8.38579294747251,58.093,40.194423433444626
1971,33.48790896159335,89.1323076923077,-13.256862745098033,0.76,0.5059215384615392,4198,2.8739999999999997,10.87146607,120.1,62.77661943480007,-7.956590976263783,58.67100000000001,39.20487949573612
1972,34.885253674727664,89.04752136752137,-12.25343137254913,0.981,0.5109490598290609,4591,2.938,10.39416408,116.6,63.649551373599934,-7.527389005054943,59.229,38.21533555802739
1973,36.282598387861526,88.96273504273506,-11.25,1.219,0.5159765811965826,5011,3.002,12.89576373,112.7,64.52248331240003,-7.098187033846216,59.763999999999996,37.22579162031889
1974,37.67994310099584,88.87794871794873,-10.246568627451097,1.2770000000000001,0.5210041025641043,5165,3.0660000000000003,6.001902902,108.8,65.39541525119989,-6.6689850626373754,60.277,36.23624768261038
1975,39.07728781413016,88.79316239316239,-9.243137254901967,1.2309999999999999,0.5260316239316243,5276,3.13,5.193253357,104.8,66.26834718999999,-6.239783091428535,60.763999999999996,35.24670374490165
1976,40.474632527264475,88.70837606837608,-8.239705882353064,1.199,0.531059145299146,5494,3.2,6.728122643,101.0,67.14127912880008,-5.810581120219808,61.226000000000006,34.25715980719315
1977,41.87197724039834,88.62358974358975,-7.236274509803934,1.037,0.5360866666666677,5622,3.27,4.9817839489999995,97.2,68.01421106759994,-5.381379149010968,61.663000000000004,33.267615869484644
1978,43.26932195353265,88.53880341880344,-6.232843137255031,0.981,0.5411141880341894,5617,3.34,2.140684677,93.6,68.88714300640004,-4.952177177802241,62.07899999999999,32.27807193177614
1979,44.66666666666697,88.4540170940171,-5.229411764705901,1.198,0.5461417094017111,5721,3.41,4.531399217,90.2,69.7600749451999,-4.522975206593401,62.477,31.288527994067408
1980,36,88.36923076923077,-4.225980392156998,1.11,0.5511692307692311,5927,3.48,7.968738509,86.9,70.633006884,-4.093773235384674,62.861000000000004,30.298984056358904
1981,27,88.28444444444446,-3.222549019607868,1.036,0.5561967521367528,6029,3.536,4.279867479,83.8,71.50593882280009,-3.6645712641758337,63.233999999999995,29.3094401186504
1982,28,88.19965811965812,-2.2191176470589653,1.043,0.5612242735042745,5997,3.592,1.69870863,80.8,72.37887076159996,-3.2353692929669933,63.601000000000006,28.319896180941896
1983,29,88.11487179487182,-1.2156862745098351,1.273,0.5662517948717962,6123,3.648,4.627946349,77.9,73.25180270040005,-2.8061673217582666,63.964,27.330352243233165
1984,34,88.03008547008548,-0.21225490196093233,1.171,0.5712793162393179,6005,3.7039999999999997,1.252895975,75.1,74.12473463919991,-2.376965350549426,64.32600000000001,26.34080830552466
1985,39,87.94529914529915,0.7911764705881978,1.123,0.5763068376068379,5728,3.76,5.440957785147091,72.4,74.99766657800001,-1.9477633793406994,64.692,25.351264367816157
1986,80,87.86051282051284,1.7946078431371006,1.2329999999999999,0.5813343589743596,5774,3.826,3.5219932000000003,69.8,75.87059851679987,-1.518561408131859,65.065,38.3
1987,80,87.7757264957265,2.798039215686231,1.4409999999999998,0.5863618803418813,6078,3.892,10.11736736,67.3,76.74353045559997,-1.0893594369231323,65.443,37.7667
1988,69,87.6909401709402,3.8014705882351336,1.4240000000000002,0.591389401709403,5991,3.958,2.155963331,64.8,77.61646239440006,-0.6601574657142919,65.822,37.2333
1989,58,87.60615384615386,4.804901960784264,1.4709999999999999,0.5964169230769247,6616,4.024,4.400538815,62.4,78.48939433319993,-0.2309554945054515,66.20100000000001,36.7
1990,69,87,5.808333333333167,1.2830000000000001,0.596,6176,4.09,5.335373120804306,60.0,79.11233521,0.19824647670327522,66.574,26.2333
1991,71,87,6.811764705882297,1.371,0.602,6112,4.138,0.9441388890000001,57.7,78.2,0.6274484479121156,66.932,15.7667
1992,73,87,7.8151960784312,1.462,0.608,6671,4.186,10.51318199,55.3,81.00093079,1.0566504191208423,67.27199999999999,5.3
1993,75,87,8.81862745098033,1.544,0.614,7036,4.234,7.222621361,53.1,81.94229889,1.4858523903296827,67.59100000000001,5.2
1994,74,87,9.822058823529233,1.607,0.62,7096,4.282,2.303256396,50.9,82.87825012,1.9150543615384095,67.887,5.1
1995,72,87,12.7,2.011,0.626,7369,4.33,5.493629299,48.8,83.80608368,2.34425633274725,68.164,5.0
1996,72,87,12.8,2.156,0.632,7672,4.37,7.131367357,46.8,84.72309875,2.7734583039559766,68.425,4.9
1997,73,87,12.7,2.204,0.638,8207,4.41,8.004274432,45.0,85.62658691,3.202660275164817,68.67699999999999,5.2
1998,75,87,13.5,2.215,0.644,8605,4.45,7.010597728,43.4,86.51383209,3.6318622463736574,68.925,5.3
1999,83,87,12.6,2.201,0.65,8960,4.49,6.715354091,42.0,91.0,4.061064217582384,69.175,5.4
2000,78,87,14.1,2.309,0.6559999999999999,9219,4.53,5.656604877,40.7,88.764932,4.4902661887912245,69.429,5.5
2001,72,87,12.5,2.2769999999999997,0.6607,9287,4.57,1.8092294880000002,39.6,89.791362,4.919468159999951,69.69,4.2
2002,82,87,14.4,2.4130000000000003,0.6654,9545,4.61,5.788207316,38.7,89.749814,3.5,69.957,5.8
2003,79,87,21.1,2.397,0.6701,9269,4.65,5.060852993513052,37.8,89.173808,4.2667,70.227,6.8
2004,79,87,24.5,2.009,0.6748,9364,4.69,1.31195822,37.1,90.316567,5.0333,70.499,8.6
2005,87,87,25.8,2.016,0.6795,10099,4.73,9.262750074,36.5,90.141224,5.8,70.771,5.8
2006,89,86,22.8,2.11,0.6842,10871,4.788,10.67115484,36.0,90.118148,7.8646,71.041,4.5
2007,85,86,22.1,2.226,0.6889,11515,4.846,8.710414118,35.5,96.87634200000001,9.9292,71.304,4.3
2008,82,86,24.8,2.147,0.6936,11720,4.904,3.209504262,35.0,97.576197,11.9938,71.559,3.8
2009,82,86,24.2,2.069,0.6983,11669,4.962,0.946155168,34.5,97.85776,14.05843,71.806,3.3
2010,88,86,24.9,2.123,0.703,12471,5.02,8.317067728,34.1,98.145414,10.2671,72.046,2.6
2011,84,86,25.0,2.115,0.706,12690,5.114094117647056,3.1019173110000002,33.7,97.898872,6.4758,72.28399999999999,2.9
2012,85,85,27.883823529411757,2.176,0.7090000000000001,12865,5.1673511312217215,2.793910372,33.3,97.86705,2.6844419999999998,72.523,2.6
2013,83,85,28.88725490196066,2.083,0.7120000000000001,13319,5.220608144796373,4.742064192,32.7,98.385853,7.9405,72.763,2.3
2014,91,85,29.89068627450979,2.068,0.718,14156,5.273865158371038,7.608964836,32.1,98.470979,13.19659346,73.003,2.1
2015,85,85,30.894117647058692,2.104,0.722,14965,5.327122171945703,7.040936189,31.3,101.18562474200007,10.928295756923035,73.241,1.9
2016,87,85.31692307692308,31.897549019607823,2.119,0.7321600000000004,15762,5.380379185520354,6.645300183,30.5,102.05855668079994,11.357497728131875,73.471,-5.324597701149287
2017,97.76576576576599,85.23213675213677,32.900980392156725,2.532516290726818,0.7371875213675221,16283,5.4336361990950195,4.765215933353247,29.7,102.93148861960003,11.786699699340602,73.689,-6.314141638858018
2018,99.16311047890031,85.14735042735043,33.904411764705856,2.5703278022642735,0.7422150427350438,17220,5.486893212669685,4.744099000484688,28.8,103.8044205583999,12.215901670549442,73.892,-7.303685576566522
2019,100.56045519203417,85.06256410256412,34.90784313725476,2.6081393138017432,0.7472425641025655,17895,5.54015022624435,4.72298206761613,28.0,104.67735249719999,12.645103641758283,76.00932320280538,-8.293229514275026
2020,101.95779990516849,84.97777777777779,35.91127450980389,2.645950825339213,0.7522700854700872,14278.37457627122,5.593407239819001,4.701865134747571,6.27926553672296,105.55028443600008,13.07430561296701,76.37433962594969,-9.282773451983758
